iter	Passed	Remaining
395	724	1105
396	725	1102
397	726	1098
398	727	1095
399	727	1091
400	728	1088
401	729	1085
402	730	1082
403	732	1080
404	738	1084
405	739	1082
406	741	1079
407	742	1077
408	743	1074
409	744	1071
410	745	1067
411	745	1064
412	746	1061
413	747	1058
414	751	1059
415	753	1058
416	758	1060
417	759	1057
418	760	1054
419	761	1052
420	763	1049
421	763	1046
422	768	1048
423	770	1046
424	771	1043
425	772	1040
426	773	1038
427	774	1035
428	776	1032
429	777	1030
430	778	1027
431	780	1026
432	783	1025
433	784	1022
434	785	1019
435	786	1017
436	788	1015
437	788	1012
438	789	1009
439	790	1005
440	790	1002
441	791	999
442	793	997
443	793	994
444	797	994
445	798	992
446	799	989
447	800	986
448	800	982
449	801	979
450	801	976
451	802	972
452	803	969
453	803	966
454	804	963
455	804	960
456	805	957
